nome,famiglia,quartiere,nobile,cerchio
Betto da Pontedera,nan,foriporta,No,C3
Betto de Seta,de Seta,medio,No,C3
Betto del fu Stefano Bonagiunta da Spina,nan,foriporta,No,C3
Betto di Andrea da Sant'Andrea,nan,,No,C3
Betto di Bartolomeo Zoppo,Zoppo,ponte,No,C3
Betto di Giovanni de Filettole,nan,,No,C3
Betto di Iacopo Papa,Papa,ponte,No,C3
Betto di Lando,nan,foriporta,No,C3
Betto di Puccio Cilla,nan,foriporta,No,C3
Betto di Puccione,nan,medio,No,C3
Betto di Ser Bindo Alliata,Alliata,foriporta,No,C3
Betto di Stefano,nan,foriporta,No,C3
Betto di Vanni di Arizio,nan,foriporta,No,C3
Bettone,nan,kinzica,No,C3
Bettuccio Griffi,Griffi,foriporta,No,C3
Bianco Grasso,Grasso,kinzica,No,C3
Biedo Alliata,Alliata,foriporta,No,C3
Bindo  di Nicola Clari,nan,,No,C3
Bindo Astaio,Astaio,ponte,No,C3
Bindo Malacalsa,Malacalsa,foriporta,No,C3
Bindo Porco,nan,ponte,No,C3
Bindo del fu Betto Marcovaldi da Calcinaria,nan,,No,C3
Bindo del fu Bonaccorso de Barba,de Barba,foriporta,No,C3
Bindo del fu Francesco da Appiano,nan,,No,C3
Bindo del fu Nocchio,nan,kinzica,No,C3
Bindo di Bartolomeo Alliata,Alliata,foriporta,No,C3
Bindo di Bonaiuto,nan,foriporta,No,C3
Bindo di Ghetto,nan,kinzica,No,C3
Bindo di Lello,nan,medio,No,C3
Bindo di Michele,nan,ponte,No,C3
Bindo di Nicola Clari,nan,,No,C3
Bindo di Nocchio,nan,kinzica,No,C3
Bindo di Puccio,nan,kinzica,No,C3
Bindo di Ser Cola Galletti,Galletti,medio,No,C3
Bindo di Ser Nicola Clari,nan,ponte,No,C3
Bindo di Vanni di Lello,nan,medio,No,C3
Bindus not. q. Nicholai Pansiere not. Petrus not. q. Iohannis de Ceuli civ. Pis. not. et s. substitutus loco Guidi Panciere.,nan,,No,C3
Blasio di Ciavello da Malaventre,nan,,No,C3
Blasio di Ser Turco Omedini,nan,medio,No,C3
Bonaccorso Alliata,Alliata,foriporta,No,C3
Bonaccorso Sanguino,nan,ponte,No,C3
Bonaccorso del fu Benvenuti di Ciampoli,nan,,No,C3
Bonaccorso di Bartolomeo Bonconti,Bonconti,foriporta,No,C3
Bonaccorso di Enrico de Calzi,nan,kinzica,No,C3
Bonaccorso di Paolo da Campo,nan,,No,C3
Bonaccorso di Pucciarello,nan,ponte,No,C3
Bonaccorso di Ser Bartolomeo Bonconti,Bonconti,foriporta,No,C3
Bonaccorso di Ser Bindo da Cascina,nan,,No,C3
Bonaccorso di Ser Martino da Terricciola,nan,,No,C3
Bonaccorso di Simone,nan,foriporta,No,C3
Bonaccorso di Verruccio,nan,kinzica,No,C3
Bonagiunta,nan,foriporta,No,C3
Bonagiunta Mascari,nan,ponte,No,C3
Bonagiunta Mattoso,nan,ponte,No,C3
Bonagiunta da Calcinaia,nan,foriporta,No,C3
Bonagiunta da Vico,nan,ponte,No,C3
Bonagiunta del fu Cecco del Capitano,nan,ponte,No,C3
Bonagiunta del fu Lupo Carboni,nan,ponte,No,C3
Bonagiunta del fu Ser Iacopo da Leguli,nan,,No,C3
Bonagiunta del fu Vernaccio,nan,ponte,No,C3
Bonagiunta di Bencivenne,nan,foriporta,No,C3
Bonagiunta di Bettone,nan,kinzica,No,C3
Bonagiunta di Cola da Cascina,da Cascina,medio,No,C3
Bonagiunta di Lemmo,nan,medio,No,C3
Bonaiuto del fu Stefano Bonaiuti da Spina,nan,,No,C3
Bonanno da Cisanello,nan,medio,No,C3
Bonavita di Lemmo,nan,medio,No,C3
Bondi di Giovanni,nan,kinzica,No,C3
Boninsegna del fu Cola,nan,kinzica,No,C3
Bonnano da Vico,nan,medio,No,C3
Bonsignore di Pino,nan,medio,No,C3
Bonuccio Bugarro,nan,medio,No,C3
Bonuccio del fu Betto Ciantor,nan,medio,No,C3
Buonaiuto Spetiarius,nan,medio,No,C3
Buto Nuovi,nan,foriporta,No,C3
C. V. Ser Iacobus de Appiano canc,nan,,No,C3
