nome,attestazioni_savi,quartiere,attestazioni_1372,attestazioni_1377,Nobile,anno,mesi,data inizio mandato,data fine mandato,famiglia
"Lemmo, cartiere",X 1 = 11 dicembre 1372 ,ponte,1,0,No,1361,novembre-dicembre,1361-08-01,1361-09-01,cartiere
"Lemmo, cartiere",X 1 = 11 dicembre 1372 ,ponte,1,0,No,1363,settembre-ottobre,1363-06-01,1363-07-01,cartiere
"Lemmo, cartiere",X 1 = 11 dicembre 1372 ,ponte,1,0,No,1365,agosto-settembre,1365-05-01,1365-06-01,cartiere
Bartolomeo Zoppo,X 1 = 15 dicembre 1372 |||| X1=  6 agosto 1377  |||| TOTALE 2,ponte,1,1,No,1366,agosto-settembre,1366-05-01,1366-06-01,Zoppo
Bartolomeo Zoppo,X 1 = 15 dicembre 1372 |||| X1=  6 agosto 1377  |||| TOTALE 2,ponte,1,1,No,1370,settembre-ottobre,1370-06-01,1370-07-01,Zoppo
Bartolomeo Zoppo,X 1 = 15 dicembre 1372 |||| X1=  6 agosto 1377  |||| TOTALE 2,ponte,1,1,No,1374,settembre-ottobre,1374-06-01,1374-07-01,Zoppo
Bartolomeo Zoppo,X 1 = 15 dicembre 1372 |||| X1=  6 agosto 1377  |||| TOTALE 2,ponte,1,1,No,1377,marzo-aprile,1377-12-01,1377-01-01,Zoppo
"Giovanni da Covinaria, notaio",X7 = 1 luglio 1377 // 1 luglio 1377 // 27 luglio 1377  // 2 agosto 1377 // 6 agosto 1377// 25 agosto 1377// 27 ottobre 1377 //,ponte,0,7,No,1366,giugno-luglio,1366-03-01,1366-04-01,notaio
"Giovanni da Covinaria, notaio",X7 = 1 luglio 1377 // 1 luglio 1377 // 27 luglio 1377  // 2 agosto 1377 // 6 agosto 1377// 25 agosto 1377// 27 ottobre 1377 //,ponte,0,7,No,1370,luglio-agosto,1370-04-01,1370-05-01,notaio
"Giovanni da Covinaria, notaio",X7 = 1 luglio 1377 // 1 luglio 1377 // 27 luglio 1377  // 2 agosto 1377 // 6 agosto 1377// 25 agosto 1377// 27 ottobre 1377 //,ponte,0,7,No,1377,novembre-dicembre,1377-08-01,1377-09-01,notaio
"Giovanni da Covinaria, notaio",X7 = 1 luglio 1377 // 1 luglio 1377 // 27 luglio 1377  // 2 agosto 1377 // 6 agosto 1377// 25 agosto 1377// 27 ottobre 1377 //,ponte,0,7,No,1380,novembre-dicembre,1380-08-01,1380-09-01,notaio
"Giovanni da Covinaria, notaio",X7 = 1 luglio 1377 // 1 luglio 1377 // 27 luglio 1377  // 2 agosto 1377 // 6 agosto 1377// 25 agosto 1377// 27 ottobre 1377 //,ponte,0,7,No,1384,novembre-dicembre,1384-08-01,1384-09-01,notaio
Ranieri di Ripafratta,X4= 7 luglio 1377 // 26 luglio 1377 // 1 agosto 1377 // 6 agosto 1377,ponte,0,4,Sì,,None,,,Ripafratta
Nicola Lanfreducci,X7 = 7 luglio 1377// 10 luglio 1377 // 14 luglio 1377 // 17 luglio 1377// 18 luglio 1377  // 1 agosto 1377 // 6 agosto 1377,ponte,0,7,Sì,,None,,,Lanfreducci
Iacopo (di Ser Guidone probabilmente) Papa,X9 = 7 luglio 1377// 17 luglio 1377// 18 luglio 1377 // 27 luglio 1377// 6 agosto 1377// 14 agosto 1377 // 16 agosto 1377// 27 ottobre 1377 //  22 novembre 1377,ponte,0,9,No,1350,gennaio-febbraio,1350-10-01,1350-11-01,Papa
Iacopo (di Ser Guidone probabilmente) Papa,X9 = 7 luglio 1377// 17 luglio 1377// 18 luglio 1377 // 27 luglio 1377// 6 agosto 1377// 14 agosto 1377 // 16 agosto 1377// 27 ottobre 1377 //  22 novembre 1377,ponte,0,9,No,1355,luglio-agosto,1355-04-01,1355-05-01,Papa
Iacopo (di Ser Guidone probabilmente) Papa,X9 = 7 luglio 1377// 17 luglio 1377// 18 luglio 1377 // 27 luglio 1377// 6 agosto 1377// 14 agosto 1377 // 16 agosto 1377// 27 ottobre 1377 //  22 novembre 1377,ponte,0,9,No,1370,aprile-maggio-giugno,1370-01-01,1370-03-01,Papa
Iacopo (di Ser Guidone probabilmente) Papa,X9 = 7 luglio 1377// 17 luglio 1377// 18 luglio 1377 // 27 luglio 1377// 6 agosto 1377// 14 agosto 1377 // 16 agosto 1377// 27 ottobre 1377 //  22 novembre 1377,ponte,0,9,No,1371,settembre-ottobre,1371-06-01,1371-07-01,Papa
Iacopo (di Ser Guidone probabilmente) Papa,X9 = 7 luglio 1377// 17 luglio 1377// 18 luglio 1377 // 27 luglio 1377// 6 agosto 1377// 14 agosto 1377 // 16 agosto 1377// 27 ottobre 1377 //  22 novembre 1377,ponte,0,9,No,1372,gennaio-febbraio,1372-10-01,1372-11-01,Papa
Iacopo (di Ser Guidone probabilmente) Papa,X9 = 7 luglio 1377// 17 luglio 1377// 18 luglio 1377 // 27 luglio 1377// 6 agosto 1377// 14 agosto 1377 // 16 agosto 1377// 27 ottobre 1377 //  22 novembre 1377,ponte,0,9,No,1374,luglio-agosto,1374-04-01,1374-05-01,Papa
Iacopo (di Ser Guidone probabilmente) Papa,X9 = 7 luglio 1377// 17 luglio 1377// 18 luglio 1377 // 27 luglio 1377// 6 agosto 1377// 14 agosto 1377 // 16 agosto 1377// 27 ottobre 1377 //  22 novembre 1377,ponte,0,9,No,1376,marzo-aprile,1376-12-01,1376-01-01,Papa
Iacopo (di Ser Guidone probabilmente) Papa,X9 = 7 luglio 1377// 17 luglio 1377// 18 luglio 1377 // 27 luglio 1377// 6 agosto 1377// 14 agosto 1377 // 16 agosto 1377// 27 ottobre 1377 //  22 novembre 1377,ponte,0,9,No,1378,gennaio-febbraio,1378-10-01,1378-11-01,Papa
Iacopo (di Ser Guidone probabilmente) Papa,X9 = 7 luglio 1377// 17 luglio 1377// 18 luglio 1377 // 27 luglio 1377// 6 agosto 1377// 14 agosto 1377 // 16 agosto 1377// 27 ottobre 1377 //  22 novembre 1377,ponte,0,9,No,1381,luglio-agosto,1381-04-01,1381-05-01,Papa
Iacopo (di Ser Guidone probabilmente) Papa,X9 = 7 luglio 1377// 17 luglio 1377// 18 luglio 1377 // 27 luglio 1377// 6 agosto 1377// 14 agosto 1377 // 16 agosto 1377// 27 ottobre 1377 //  22 novembre 1377,ponte,0,9,No,1383,luglio-agosto,1383-04-01,1383-05-01,Papa
Giovanni di Ciano,X1= 7 luglio 1377,ponte,0,1,No,1346,luglio-agosto,1346-04-01,1346-05-01,Scorcialupi (?)
Giovanni di Ciano,X1= 7 luglio 1377,ponte,0,1,No,1351,gennaio-febbraio,1351-10-01,1351-11-01,Scorcialupi (?)
Opizzo Falconi,X1= 9 luglio 1377,ponte,0,1,No,1365,ottobre-novembre,1365-07-01,1365-08-01,Falconi
Opizzo Falconi,X1= 9 luglio 1377,ponte,0,1,No,1372,settembre-ottobre,1372-06-01,1372-07-01,Falconi
Opizzo Falconi,X1= 9 luglio 1377,ponte,0,1,No,1376,luglio-agosto,1376-04-01,1376-05-01,Falconi
Opizzo Falconi,X1= 9 luglio 1377,ponte,0,1,No,1378,settembre-ottobre,1378-06-01,1378-07-01,Falconi
Opizzo Falconi,X1= 9 luglio 1377,ponte,0,1,No,1380,settembre-ottobre,1380-06-01,1380-07-01,Falconi
Gualterotto de Lanfranchi,X1= 18 luglio 1377 ,ponte,0,1,Sì,,None,,,Lanfranchi
Pellaio de Lanfranchi,X1= 27 luglio 1377,ponte,0,1,Sì,,None,,,Lanfranchi
Cola Bondiei,X3= 2 agosto 1377 // 7 ottobre 1377 // 30 ottobre 1377,ponte,0,3,No,1343,marzo-aprile,1343-12-01,1343-01-01,Bondiei
Cola Bondiei,X3= 2 agosto 1377 // 7 ottobre 1377 // 30 ottobre 1377,ponte,0,3,No,1345,novembre-dicembre,1345-08-01,1345-09-01,Bondiei
"Banco di Puccio, Operaio di San Ranieri",X1= 5 agosto 1377,ponte,0,1,No,,None,,,Ranieri
Oddo Zoppo,X1 = 5 agosto 1377,ponte,0,1,No,1367,ottobre-novembre-dicembre,1367-07-01,1367-09-01,Zoppo
Oddo Zoppo,X1 = 5 agosto 1377,ponte,0,1,No,1371,luglio-agosto,1371-04-01,1371-05-01,Zoppo
Oddo Zoppo,X1 = 5 agosto 1377,ponte,0,1,No,1376,novembre-dicembre,1376-08-01,1376-09-01,Zoppo
Oddo Zoppo,X1 = 5 agosto 1377,ponte,0,1,No,1379,maggio-giugno,1379-02-01,1379-03-01,Zoppo
Bernardo Astai,X1= 7 ottobre 1377,ponte,0,1,No,1371,maggio-giugno,1371-02-01,1371-03-01,Astaio
Bernardo Astai,X1= 7 ottobre 1377,ponte,0,1,No,1382,novembre-dicembre,1382-08-01,1382-09-01,Astaio
Bonaccorso da Barba,X1= 7 ottobre 1377,ponte,0,1,No,1376,maggio-giugno,1376-02-01,1376-03-01,de Barba
Masseo Del Verde,X1= 7 ottobre 1377,ponte,0,1,No,1373,luglio-agosto,1373-04-01,1373-05-01,Verde
Masseo Del Verde,X1= 7 ottobre 1377,ponte,0,1,No,1375,luglio-agosto,1375-04-01,1375-05-01,Verde
Masseo Del Verde,X1= 7 ottobre 1377,ponte,0,1,No,1382,gennaio-febbraio,1382-10-01,1382-11-01,Verde
Masseo Del Verde,X1= 7 ottobre 1377,ponte,0,1,No,1388,settembre-ottobre,1388-06-01,1388-07-01,Verde
Masseo Del Verde,X1= 7 ottobre 1377,ponte,0,1,No,1389,novembre-dicembre,1389-08-01,1389-09-01,Verde
Masseo Del Verde,X1= 7 ottobre 1377,ponte,0,1,No,1391,settembre-ottobre,1391-06-01,1391-07-01,Verde
"Bindo Clari, notaio",X1= 7 ottobre 1377,ponte,0,1,No,1364,luglio-agosto,1364-04-01,1364-05-01,notaio
"Bindo Clari, notaio",X1= 7 ottobre 1377,ponte,0,1,No,1369,settembre-gennaio,1369-06-01,1369-10-01,notaio
"Bindo Clari, notaio",X1= 7 ottobre 1377,ponte,0,1,No,1372,marzo-aprile,1372-12-01,1372-01-01,notaio
"Piero di Ser Mone, topparius",X1= 7 ottobre 1377,ponte,0,1,No,1367,gennaio-febbraio-marzo,1367-10-01,1367-12-01,topparius
"Piero di Ser Mone, topparius",X1= 7 ottobre 1377,ponte,0,1,No,1374,gennaio-febbraio,1374-10-01,1374-11-01,topparius
"Piero di Ser Mone, topparius",X1= 7 ottobre 1377,ponte,0,1,No,1380,marzo-aprile,1380-12-01,1380-01-01,topparius
"Piero di Ser Mone, topparius",X1= 7 ottobre 1377,ponte,0,1,No,1384,settembre-ottobre,1384-06-01,1384-07-01,topparius
Andrea di Ser Ciano,X1= 7 ottobre 1377,ponte,0,1,No,1370,marzo-aprile,1370-12-01,1370-01-01,Ciano
Andrea di Ser Ciano,X1= 7 ottobre 1377,ponte,0,1,No,1374,novembre-dicembre,1374-08-01,1374-09-01,Ciano
Andrea di Ser Ciano,X1= 7 ottobre 1377,ponte,0,1,No,1378,maggio-giugno,1378-02-01,1378-03-01,Ciano
Andrea di Ser Ciano,X1= 7 ottobre 1377,ponte,0,1,No,1379,novembre-dicembre,1379-08-01,1379-09-01,Ciano
Andrea di Ser Ciano,X1= 7 ottobre 1377,ponte,0,1,No,1381,marzo-aprile,1381-12-01,1381-01-01,Ciano
Andrea di Ser Ciano,X1= 7 ottobre 1377,ponte,0,1,No,1384,settembre-ottobre,1384-06-01,1384-07-01,Ciano
Andrea di Ser Ciano,X1= 7 ottobre 1377,ponte,0,1,No,1385,gennaio-febbraio,1385-10-01,1385-11-01,Ciano
Andrea di Ser Ciano,X1= 7 ottobre 1377,ponte,0,1,No,1389,settembre-ottobre,1389-06-01,1389-07-01,Ciano
Andrea di Ser Ciano,X1= 7 ottobre 1377,ponte,0,1,No,1392,maggio-giugno,1392-02-01,1392-03-01,Ciano
Giovanni di Bonaccorso da Vecchiano,X1= 2 dicembre 1377,ponte,0,1,No,1357,luglio-agosto,1357-04-01,1357-05-01,nan
Giovanni di Bonaccorso da Vecchiano,X1= 2 dicembre 1377,ponte,0,1,No,1369,settembre-gennaio,1369-06-01,1369-10-01,nan
Neruccio Malpiglio,X 3 = 1372 // 16 ottobre 1372 // 19 dicembre 1372  ||| X2 =  22 novembre 1377 // 26 novembre 1377  |||| TOTALE 5,foriporta,3,3,No,1365,agosto-settembre,1365-05-01,1365-06-01,Malpiglio
Neruccio Malpiglio,X 3 = 1372 // 16 ottobre 1372 // 19 dicembre 1372  ||| X2 =  22 novembre 1377 // 26 novembre 1377  |||| TOTALE 5,foriporta,3,3,No,,Famiglia presente,,,Malpiglio
Tommaso Grassolini,X 10 = 11 settembre 1372 // 12 settembre 1372 // 5 ottobre 1372 // 18 ottobre 1372 // 25 ottobre 1372 // 6 novembre 1372 // 13 novembre 1372 // 19 novembre 1372 // 31 novembre 1372 // 19 dicembre 1372 |||| X21 = 1 luglio 1377  //   1 luglio 1377 //   //  7 luglio 1377// 9 luglio 1377// 10 luglio 1377 // 14 luglio 1377// 17 luglio 1377// 18 luglio 1377  // 26 luglio 1377// 27 luglio 1377// 31 luglio 1377 // 1 agosto 1377  // 16 agosto 1377 // 18 agosto 1377 // 25 agosto 1377// 27 agosto 1377// 15 settembre 1377 // 7 ottobre 1377 // 9 ottobre 1377// 15 ottobre 1377// 27 ottobre 1377  |||| TOTALE 31,foriporta,10,10,No,1350,marzo-aprile,1350-12-01,1350-01-01,Grassolini
Tommaso Grassolini,X 10 = 11 settembre 1372 // 12 settembre 1372 // 5 ottobre 1372 // 18 ottobre 1372 // 25 ottobre 1372 // 6 novembre 1372 // 13 novembre 1372 // 19 novembre 1372 // 31 novembre 1372 // 19 dicembre 1372 |||| X21 = 1 luglio 1377  //   1 luglio 1377 //   //  7 luglio 1377// 9 luglio 1377// 10 luglio 1377 // 14 luglio 1377// 17 luglio 1377// 18 luglio 1377  // 26 luglio 1377// 27 luglio 1377// 31 luglio 1377 // 1 agosto 1377  // 16 agosto 1377 // 18 agosto 1377 // 25 agosto 1377// 27 agosto 1377// 15 settembre 1377 // 7 ottobre 1377 // 9 ottobre 1377// 15 ottobre 1377// 27 ottobre 1377  |||| TOTALE 31,foriporta,10,10,No,1353,maggio-giugno,1353-02-01,1353-03-01,Grassolini
Tommaso Grassolini,X 10 = 11 settembre 1372 // 12 settembre 1372 // 5 ottobre 1372 // 18 ottobre 1372 // 25 ottobre 1372 // 6 novembre 1372 // 13 novembre 1372 // 19 novembre 1372 // 31 novembre 1372 // 19 dicembre 1372 |||| X21 = 1 luglio 1377  //   1 luglio 1377 //   //  7 luglio 1377// 9 luglio 1377// 10 luglio 1377 // 14 luglio 1377// 17 luglio 1377// 18 luglio 1377  // 26 luglio 1377// 27 luglio 1377// 31 luglio 1377 // 1 agosto 1377  // 16 agosto 1377 // 18 agosto 1377 // 25 agosto 1377// 27 agosto 1377// 15 settembre 1377 // 7 ottobre 1377 // 9 ottobre 1377// 15 ottobre 1377// 27 ottobre 1377  |||| TOTALE 31,foriporta,10,10,No,1355,maggio-giugno,1355-02-01,1355-03-01,Grassolini
Tommaso Grassolini,X 10 = 11 settembre 1372 // 12 settembre 1372 // 5 ottobre 1372 // 18 ottobre 1372 // 25 ottobre 1372 // 6 novembre 1372 // 13 novembre 1372 // 19 novembre 1372 // 31 novembre 1372 // 19 dicembre 1372 |||| X21 = 1 luglio 1377  //   1 luglio 1377 //   //  7 luglio 1377// 9 luglio 1377// 10 luglio 1377 // 14 luglio 1377// 17 luglio 1377// 18 luglio 1377  // 26 luglio 1377// 27 luglio 1377// 31 luglio 1377 // 1 agosto 1377  // 16 agosto 1377 // 18 agosto 1377 // 25 agosto 1377// 27 agosto 1377// 15 settembre 1377 // 7 ottobre 1377 // 9 ottobre 1377// 15 ottobre 1377// 27 ottobre 1377  |||| TOTALE 31,foriporta,10,10,No,1370,Gennaio-Febbraio,1370-10-01,1370-11-01,Grassolini
Nicola (Niccolò) da Montescudaio,X4 = 12 settembre 1372 // 5 ottobre 1372 // 13 novembre 1372 // 24 novembre 1372  |||||| X7 = 27 luglio 1377 // 1 agosto 1377 // 6 agosto 1377 // 7 agosto 1377// 15 settembre 1377 // 7 ottobre 1377// 15 ottobre 1377    |||| TOTALE 11,foriporta,4,4,Sì,,None,,,Montescudaio
