numero mandato,data inizio mandato,data fine mandato,nome,nota,altra nota,anno,mesi,note data,ruolo,quartiere
1,1369-10-01,1369-11-01,Petrus de Peccioli,de Peccioli,Iurisperitus,1369,Gennaio-Febbraio,,priore,ponte
2,1369-12-01,1370-01-01,Gerardus Lippi Astarii,Astarii,,1369-1370,Marzo-Aprile,"Ranieri Sardo cap. 151 (nell'edizione dell'1845 della cronaca c'è una virgola dopo Giovanni di Puccio, Pancaldo)",priore,ponte
3,1370-01-01,1370-03-01,Ser Colus Gactus,Gactus,,1370,Aprile-Maggio-Giugno,Due Priori per Quartiere,priore,ponte
4,1370-04-01,1370-05-01,Ser Iacobus quondam Ser Becti Pape,Papa,,1370,Luglio-Agosto,Due Priori per Quartiere /NOB. ET POT. MILES D. RAINERIUS UGOLINUCCII DE BASCHIO HONOR PISANORUM POTESTAS ,priore,ponte
5,1370-06-01,1370-07-01,Barthalomeus Soppos,Soppos (Zoppo?),,1370,Settembre-Ottobre,,priore,ponte
6,1370-08-01,1370-09-01,Benedictus Falconis,,,1370,Novembre-Dicembre,NOB. ET POT. MILES DOMINUS CAROLUS DE MONTANINIS DE SENIS HONOR. Pisanorum Potestas,priore,ponte
7,1370-10-01,1370-11-01,Nerius Papa,Papa,,1370,Gennaio-Febbraio,,priore,ponte
8,1370-12-01,1371-01-01,Andreas D. Ciani Scorcialupi,Scorcialupi,,1370-1371,Marzo-Aprile,SUPRASCRIPT. POT. HABUIT ETIAM HOC TEMPORE OFFICIUM CAP. P. P,priore,ponte
9,1371-02-01,1371-03-01,D. Loctus de Moricoctis de Vico leg. doct.,Moricoctis de Vico,Legum Doctor,1371,Maggio-Giugno,,priore,ponte
10,1371-04-01,1371-05-01,Oddo Soppus,Soppos (Zoppo?),,1371,Luglio-Agosto,,priore,ponte
11,1371-06-01,1371-07-01,Iacobus Guidonis Papa,Papa,,1371,Settembre-Ottobre,NOB. ET SAP. VIR D. MARCUS D. MACTHEI DE NARNIA LEG. DOCT.,priore,ponte
12,1371-08-01,1371-09-01,Henricus Boccius,Boccius,,1371,Novembre-Dicembre,NOB. ET EGR. MILES D. BALIGINUS DE BALIGANIS DE ESIO HONOR. P. P. ET MARCUS DE NARNIA SUPR. C. P. P.,priore,ponte
13,1371-10-01,1371-11-01,Ser Guido Macigna,Macigna,,1371,Gennaio-Febbraio,SUP. POT. ET MARCUS DE NARNIA LEG. DOCT. C. P. P,priore,ponte
14,1371-12-01,1372-01-01,Ser Ceus Ser Coli Del Verde,del Verde,,1371-1372,Marzo-Aprile,,priore,ponte
15,1372-02-01,1372-03-01,Ser Tomasus Salimbenis de Campilia,de Campilia,,1372,Maggio-Giugno,MAGNIF. ET POT. MILES D. PETRUS GAMBACURTA HONORAB. PIS. CIVIS. CAPITANEUS MASNADARUM PISANI COMUNIS ET POPULI PISANI. DEFENSOR ET CAP. P. P. SUPRASCRIPT,priore,ponte
16,1372-04-01,1372-05-01,Ser Colus Ser Andreocti Gallecti,,,1372,Luglio-Agosto,M. ET P. MILES D. PETRUS GAMBACURTA ET D. BALIGANUS SUPR. POT. NEC NON D. CAP. P. P. SUPR.,priore,ponte
17,1372-06-01,1372-07-01,Oppisus Falconis,,,1372,Settembre-Ottobre,,priore,ponte
18,1372-08-01,1372-09-01,Ser Cecchus Nacchi de Plumbino,de Plumbino,,1372,Novembre-Dicembre,M. ET POT. MILES D. PETRUS GAMBACURTA etc. M. ET P. VIR D. BARTHOLOMEUS DE FELICINIS DE ARMANNIS DE PERUSIO PIS. POT. ET SUPR. C. P. P.,priore,ponte
19,1372-10-01,1372-11-01,Iacobus olim Ser Guidonis Pape,Papa,,1372,Gennaio-Febbraio,SUPR. D. PETRUS GAMBACURTA etc. D. BARTHOLOMEUS etc. P. P. ET D. IACOBUS DE SENIS LEG. DOCT. C. P. P. ,priore,ponte
20,1372-12-01,1373-01-01,Pierus de Cascina q. Vannis,de Cascina,,1372-1373,Marzo-Aprile,,priore,ponte
21,1373-02-01,1373-03-01,Gerardus Lippi Astarii,Astarii,,1373,Maggio-Giugno,,priore,ponte
22,1373-04-01,1373-05-01,Iacobus Ser Becti Papa,Papa,,1373,Luglio-Agosto,,priore,ponte
23,1373-06-01,1373-07-01,Benvenutus Vannis,,,1373,Settembre-Ottobre,,priore,ponte
24,1373-08-01,1373-09-01,Nerius Cegne Del Guercio,del Guercio,,1373,Novembre-Dicembre,M. ET P. MIL. D. PETRUS GAMBACURTA etc. ET NOB. ET POT. MIL. D. BERNARDINUS DE CHANA P. P. ET D. C. P. P. SUPR. ET SUCCESSOR SUUS EGR. LEG. DOCT. D. VALLERIANUS DE CETONA C. P. P. ,priore,ponte
25,1373-10-01,1373-11-01,Barthaloctus Ser Iacobi de Moricoctis de Vico,Moricoctis de Vico,,1373,Gennaio-Febbraio,,priore,ponte
26,1373-12-01,1374-01-01,Ser Colus Gattus,Gactus,,1373-1374,Marzo-Aprile,,priore,ponte
27,1374-02-01,1374-03-01,Ser Colus Ser Benevenii de Scorno,de Scorno,,1374,Maggio-Giugno,,priore,ponte
28,1374-04-01,1374-05-01,Ser Iacobus Ser Guidonis Papa,Papa,,1374,Luglio-Agosto,,priore,ponte
29,1374-06-01,1374-07-01,Ser Bartholomeus Soppus,Soppos (Zoppo?),,1374,Settembre-Ottobre,,priore,ponte
30,1374-08-01,1374-09-01,Ser Andreas q. D. Ciani Scorcialupi,Scorcialupi,,1374,Novembre-Dicembre,M. ET P. MILES D. PETRUS DE GAMBACURTA etc. NOB. ET POT. VIR D. D. PAULUS ARGENTI COMES DE CAMPELLO DE SPOLETO P. P. ET D. VALLERANUS SUPR. C. P. P. PRO UNO ANNO FINITO DIE XXVI DECEMBRIS ET D. GUILLELMUS DE CASTILIONE ARETINO C. P. P. PRO UNO ANNO INCEPTO DIE SUPRASCRIPTO,priore,ponte
31,1374-10-01,1374-11-01,Benvenutus Vannis,,,1374,Gennaio-Febbraio,,priore,ponte
32,1374-12-01,1375-01-01,Guido Macigna,,Notarius,1374-1375,Marzo-Aprile,,priore,ponte
33,1375-02-01,1375-03-01,Nerius Del Guercio,del Guercio,,1375,Maggio-Giugno,,priore,ponte
34,1375-04-01,1375-05-01,Gerardus Astarius,Astarii,,1375,Luglio-Agosto,,priore,ponte
35,1375-06-01,1375-07-01,Bertaloctus Ser Iacobi de Moricoctis de Vico,Moricoctis de Vico,,1375,Settembre-Ottobre,,priore,ponte
36,1375-08-01,1375-09-01,Ciolus Bondiei,Bondiei,,1375,Novembre-Dicembre,M. ET P. MIL. D. PETRUS DE GAMBACURTA etc. ET NOB. ET POT. VIR D. IOANNES CORRADUCCII DE MONTE ROCCHO DE ESCULO MILES ET LEG. DOCT. P. P. ET SUPR. C. P. P. ,priore,ponte
37,1375-10-01,1375-11-01,Cecchus Nacchi de Plumbino,de Plumbino,,1375,Gennaio-Febbraio,M. ET P. MIL. D. PETRUS DE GAMBACURTIS etc. ET HONOR. VIR D. ARCANGELUS D. IACOBI DE INTERANNE C. P. P,priore,ponte
38,1375-12-01,1376-01-01,Loctus de Vico,de Vico,,1375-1376,Marzo-Aprile,,priore,ponte
39,1376-02-01,1376-03-01,Bonaccursus de Barba,de Barba,,1376,Maggio-Giugno,,priore,ponte
40,1376-04-01,1376-05-01,Oppithus Ser Barthalomei Falconis,,,1376,Luglio-Agosto,,priore,ponte
41,1376-06-01,1376-07-01,D. Nicholaus de Lanfreducciis,de Lanfreducciis,Legum Doctor,1376,Settembre-Ottobre,,priore,ponte
42,1376-08-01,1376-09-01,Oddo Soppos,Soppos (Zoppo?),,1376,Novembre-Dicembre,,priore,ponte
43,1376-10-01,1376-11-01,Bertaloctus Ser Iacobi de Vico,de Vico,,1376,Gennaio-Febbraio,M. ET P. MILES D. PETRUS DE GAMBACURTA etc. ET EGREG. LEG. DOCT. D. IOHANNES SIMONIS DE NARNIA C. P. P.,priore,ponte
44,1376-12-01,1377-01-01,Iacobus Papa olim Ser Guidonis,Papa,,1376-1377,Marzo-Aprile,,priore,ponte
45,1377-02-01,1377-03-01,Gerardus Ser Lippi Astarii,Astarii,,1377,Maggio-Giugno,,priore,ponte
46,1377-04-01,1377-05-01,Ser Colus de Scorno,de Scorno,,1377,Luglio-Agosto,,priore,ponte
47,1377-06-01,1377-07-01,Benvenutus Vannis,,,1377,Settembre-Ottobre,,priore,ponte
48,1377-08-01,1377-09-01,Iohannes Nerii Macigne,Macigna,,1377,Novembre-Dicembre,,priore,ponte
49,1377-10-01,1377-11-01,Andreas Coli Bondiei.,Bondiei,,1377,Gennaio-Febbraio,M. V. D. PETRUS DE GAMBACURTIS etc. ET NOB. ET POT. VIR D. BERARDUS DE MELATINO DE ABRUTIO MILES PIS. POTEST. ET D. CAPIT. SUP.,priore,ponte
50,1377-12-01,1378-01-01,Bartholomeus Soppus,Soppos (Zoppo?),,1377-1378,Marzo-Aprile,,priore,ponte
51,1378-02-01,1378-03-01,Andreas D. Ciani,,,1378,Maggio-Giugno,M. V. D. PETRUS DE GAMBACURTIS etc. ET NOB. ET POTENS VIR MICHAEL DE REPRANDIS DE MARROSTICA DE PADUA CAPIT. PIS. POP,priore,ponte
52,1378-04-01,1378-05-01,D. Loctus de Moricoctis de Vico,Moricoctis de Vico,,1378,Luglio-Agosto,,priore,ponte
53,1378-06-01,1378-07-01,Opisus Falconis,,,1378,Settembre-Ottobre,,priore,ponte
54,1378-08-01,1378-09-01,D. Nicolaus Lanfreduccii,Lanfreducii,,1378,Novembre-Dicembre,M. V. D. PETRUS DE GAMBACURTIS etc. ET NOB. ET POTENS VIR FRANCISCUS D. ANDREOCTI MILES DE SPOLETO COMES DE CAMPELLO P. P. ET CAPIT. SUPRAS,priore,ponte
55,1378-10-01,1378-11-01,Iacobus Papa,Papa,,1378,Gennaio-Febbraio,,priore,ponte
56,1378-12-01,1379-01-01,Guido Macigna,Macigna,,1378-1379,Marzo-Aprile,,priore,ponte
57,1379-02-01,1379-03-01,Oddo Soppus,Soppos (Zoppo?),,1379,Maggio-Giugno,,priore,ponte
58,1379-04-01,1379-05-01,Iohannes Macigna,Macigna,,1379,Luglio-Agosto,M. V. D. PETRUS DE GAMBACURTIS etc. SUPR. P. P. ET D. LUDOVICUS DE ARIMINO LEG. DOCT. C. P. P,priore,ponte
59,1379-06-01,1379-07-01,Gerardus Astarius,Astarii,,1379,Settembre-Ottobre,,priore,ponte
60,1379-08-01,1379-09-01,Andreas D. Ciani Squarcialupi,Squarcialupi,,1379,Novembre-Dicembre,,priore,ponte
61,1379-10-01,1379-11-01,Benvenutus Vannis,,,1379,Gennaio-Febbraio,M. V. D. PETRUS DE GAMBACURTIS etc. NOB. ET POT. VIR D. PETRUS DE SALIMBENIBUS DE SENIS MILES. P. P,priore,ponte
62,1379-12-01,1380-01-01,Andreas Bondiei,Bondiei,,1379-1380,Marzo-Aprile,,priore,ponte
63,1380-02-01,1380-03-01,Colus de Scorno,de Scorno,,1380,Maggio-Giugno,,priore,ponte
64,1380-04-01,1380-05-01,Bartaloctus de Moricoctis de Vico,Moricoctis de Vico,,1380,Luglio-Agosto,M. V. D. PETRUS DE GAMBACURTIS etc. D. LUDOVICUS DE ARIMINO C. P. P. SUPR. USQUE AD DIEM SECUNDUM AUG. ET POSTEA EGREG. LEG. DOCT. D. TADDEUS DE MOLCIS DE PARMA C. P. P.,priore,ponte
65,1380-06-01,1380-07-01,Opithonus Falconis,,,1380,Settembre-Ottobre,,priore,ponte
66,1380-08-01,1380-09-01,D. Nicolaus de Lanfreducciis,Lanfreducii,,1380,Novembre-Dicembre,M. V. D. PETRUS DE GAMBACURTIS etc. NOB. ET POT. VIR D. NINALBERTUS DE TUDERTO MIL. P. P. ET D. C. P. P. SUPR.,priore,ponte
67,1380-10-01,1380-11-01,Francischus Ser Simonis Rustichelli,Rustichelli,,1380,Gennaio-Febbraio,,priore,ponte
68,1380-12-01,1381-01-01,Gerardus Ser Lippi Astarii,Astarii,,1380-1381,Marzo-Aprile,,priore,ponte
69,1381-02-01,1381-03-01,Iohannes Macigna,Macigna,,1381,Maggio-Giugno,,priore,ponte
70,1381-04-01,1381-05-01,Iacobus Papa,Papa,,1381,Luglio-Agosto,,priore,ponte
71,1381-06-01,1381-07-01,Andreas Bondiei,Bondiei,,1381,Settembre-Ottobre,,priore,ponte
72,1381-08-01,1381-09-01,Loctus de Moricoctis de Vico,Moricoctis de Vico,Legum Doctor,1381,Novembre-Dicembre,M. V. D. PETRUS DE GAMBACURTIS etc. D. P. P. SUPRASCRIPT. ET D. IACOBUS DE BROCCARDIS DE YMOLA LEG. DOCT. C. P. P. ,priore,ponte
73,1381-10-01,1381-11-01,Rainerius Astarius,Astarii,,1381,Gennaio-Febbraio,M. V. D. PETRUS DE GAMBACURTIS etc. DOM. P. SUPRASCRIPTUS ET D. PETRUS DE SPOLETO MIL. COMES DE CAMPELLO NUNC P. P. PRO UNO ANNO INCEPTO  DIE QUINTADECIMA MENS. IANUAR. ET D. C. P. P. SUPRASCRIPT,priore,ponte
74,1381-12-01,1382-01-01,Andreas D. Ciani Squarcialupi,Squarcialupi,,1381-1382,Marzo-Aprile,,priore,ponte
75,1382-02-01,1382-03-01,Cellinus de Septimo,de Septimo,,1382,Maggio-Giugno,,priore,ponte
76,1382-04-01,1382-05-01,Guido Macigna,Macigna,,1382,Luglio-Agosto,,priore,ponte
77,1382-06-01,1382-07-01,Colus de Scorno,de Scorno,,1382,Settembre-Ottobre,,priore,ponte
78,1382-08-01,1382-09-01,Ser Nicolaus de Lanfreducciis,Lanfreducii,,1382,Novembre-Dicembre,,priore,ponte
79,1382-10-01,1382-11-01,Masseus Coli Del Verde,del Verde,,1382,Gennaio-Febbraio,M. V. D. PETRUS DE GAMBACURTIS etc. ET D. CRISPOLTUS DE VIGNONIBUS DE PERUSIO LEG. DOCT. C. P. P. ,priore,ponte
80,1382-12-01,1383-01-01,Bertaloctus de Vico,de Vico,,1382-1383,Marzo-Aprile,M. V. D. PETRUS DE GAMBACURTIS etc. ET MAGNIF. VIR D. IACOBUS DE PRESBITERIS DE BONONIA MIL. ET LEG. DOCT. P. P. ET C. SUPRAS,priore,ponte
81,1383-02-01,1383-03-01,Guaspar Bugilafava,,,1383,Maggio-Giugno,,priore,ponte
82,1383-04-01,1383-05-01,Iacobus q. Guidonis Pape,Papa,,1383,Luglio-Agosto,,priore,ponte
83,1383-06-01,1383-07-01,Gerardus Astarius defunctus in dicto officio die quintodecimo septembris. Iohannes Bianchi Bondiei,Bondiei,,1383,Settembre-Ottobre,,priore,ponte
84,1383-08-01,1383-09-01,Bonaiuncta Ser Simonis Rustichelli,Rustichelli,,1383,Novembre-Dicembre,,priore,ponte
85,1383-10-01,1383-11-01,Benedictus de Plumbino,de Plumbino,Legum Doctor,1383,Gennaio-Febbraio,M. V. D. PETRUS DE GAMBACURTIS etc. ET EGREGIUS ET SAPIENS VIR D. OPISONUS DE ALIDOSIIS DE YMOLA P. P. ET D. BELLEBUONUS DE VITERBIO LEG. DOCT. ,priore,ponte
86,1383-12-01,1384-01-01,D. Nicolaus Lanfreduccius leg. doct.,Lanfreducii,Legum Doctor,1383-1384,Marzo-Aprile,,priore,ponte
87,1384-02-01,1384-03-01,Iohannes Macigna,Macigna,,1384,Maggio-Giugno,,priore,ponte
88,1384-04-01,1384-05-01,D. Loctus de Marichottis de Vico,de Vico,,1384,Luglio-Agosto,,priore,ponte
89,1384-06-01,1384-07-01,Andreas D. Ciani Squarcialupi,Squarcialupi,,1384,Settembre-Ottobre,,priore,ponte
90,1384-08-01,1384-09-01,Rainerius Iacobi Astarius,Astarii,,1384,Novembre-Dicembre,M. ET P. V. D. PETRUS DE GAMBACURTIS etc. EGREG. LEG. DOCT. D. FULCHINUS DE PLAGENTIA C. P. P,priore,ponte
91,1384-10-01,1384-11-01,Michael Davini,,,1384,Gennaio-Febbraio,M. V. D. PETRUS DE GAMBACURTIS etc. NOB. ET EGR. MIL. D. ORLANDUS DE MALEVOLTIS DE SENIS P. P. ET D. C. P. P. SUPRASCRIPT,priore,ponte
92,1384-12-01,1385-01-01,Colus de Scorno,de Scorno,,1384-1385,Marzo-Aprile,,priore,ponte
93,1385-02-01,1385-03-01,Gabriel Melani q. Iacobi,,,1385,Maggio-Giugno,,priore,ponte
94,1385-04-01,1385-05-01,D. Benedictus de Plumbino,de Plumbino,Iudex,1385,Luglio-Agosto,,priore,ponte
95,1385-06-01,1385-07-01,Ser Iacobus Falconis,,,1385,Settembre-Ottobre,,priore,ponte
96,1385-08-01,1385-09-01,D. Loctus de Moricoctis de Vico,Moricoctis de Vico,Iudex,1385,Novembre-Dicembre,,priore,ponte
97,1385-10-01,1385-11-01,Ser Andreas D. Ciani Scorcialupi,Scorcialupi,,1385,Gennaio-Febbraio,PETRUS DE GAMBACURTIS etc. ET NOB. ET SAPIENS VIR D. ROBERTUS MARII DE EXCULO MIL. P. P. ET EGREG. LEG. DOCT. D. MANFREDUS DE GILIBERTIS DE SPOLETO,priore,ponte
98,1385-12-01,1386-01-01,Ser Bartholomeus de Scorno,de Scorno,,1385-1386,Marzo-Aprile,,priore,ponte
99,1386-02-01,1386-03-01,Franciscus Rustichelli,Rustichelli,,1386,Maggio-Giugno,,priore,ponte
100,1386-04-01,1386-05-01,Iohannes Bianchi Bondiei,Bondiei,,1386,Luglio-Agosto,,priore,ponte
101,1386-06-01,1386-07-01,Ser Iohannes D. Iacobi de Peccioli,de Peccioli,,1386,Settembre-Ottobre,,priore,ponte
102,1386-08-01,1386-09-01,Iohannes Macigna,Macigna,,1386,Novembre-Dicembre,,priore,ponte
103,1386-10-01,1386-11-01,Ranerius Astarius,Astarii,,1386,Gennaio-Febbraio,"M. V. D. PETRUS DE GAMBACURTIS etc. D. THOMASUS DE TROCCHIS DE YMOLA PIS. POTEST. ET D. MANFREDUS DE GILIBERTIS C. P. P. PRO DIEBUS VIGINTI IANUARII INFRASCRIPTI, ET EGREG. LEG. DOCT. D. STEFANUS DE CRESCENTIBUS DE AMELIA PRO RELIQUO TEMPORE. ",priore,ponte
104,1386-12-01,1387-01-01,D. Nicholaus de Lanfreducciis,Lanfreducii,,1386-1387,Marzo-Aprile,,priore,ponte
105,1387-02-01,1387-03-01,Iohannes Ser Coli Benvenuti,,,1387,Maggio-Giugno,,priore,ponte
106,1387-04-01,1387-05-01,D. Bondus Lanfreduccii,Lanfreducii,,1387,Luglio-Agosto,,priore,ponte
107,1387-06-01,1387-07-01,Gabrlel Melani,,,1387,Settembre-Ottobre,,priore,ponte
108,1387-08-01,1387-09-01,Colus Bucchia,Boccius (?),,1387,Novembre-Dicembre,,priore,ponte
109,1387-10-01,1387-11-01,Iohannes Macigna,Macigna,,1387,Gennaio-Febbraio,M. V. D. PETRUS DE GAMBACURTIS etc. NOB. ET POT. VIR D. TOMASUS DE ANGELELLIS DE BONONIA MIL. ET LEG. DOCT. P. P. ET D. NICOLAUS DE CALVIS DE ROMA,priore,ponte
110,1387-12-01,1388-01-01,Ser Colus de Scorno,de Scorno,,1387-1388,Marzo-Aprile,,priore,ponte
111,1388-02-01,1388-03-01,Iohannes Bianchi Bondiei,Bondiei,,1388,Maggio-Giugno,,priore,ponte
112,1388-04-01,1388-05-01,D. Loctus de Moricottis de Vico,Moricoctis de Vico,,1388,Luglio-Agosto,,priore,ponte
113,1388-06-01,1388-07-01,Masseus Del Verde,del Verde,,1388,Settembre-Ottobre,,priore,ponte
114,1388-08-01,1388-09-01,D. Benedictus de Plumbino,de Plumbino,,1388,Novembre-Dicembre,,priore,ponte
115,1388-10-01,1388-11-01,Colus Ser Benvenuti Vannis,,,1388,Gennaio-Febbraio,,priore,ponte
116,1388-12-01,1389-01-01,Iohannes Iacobi Falconis,,,1388-1389,Marzo-Aprile,M. V. D. PETRUS DE GAMBACUR- TIS etc. D. ANGELUS DE MALAVOLTIS DE SENIS MILES P. P. EGREG. ET EXCELL. ANTONIUS DE CINGULO LEG. DOCT. C. P. P.,priore,ponte
117,1389-02-01,1389-03-01,Franciscus Rustichellus,Rustichelli,,1389,Maggio-Giugno,,priore,ponte
118,1389-04-01,1389-05-01,Iohannes D. Iacobi de Peccioli,de Peccioli,,1389,Luglio-Agosto,,priore,ponte
119,1389-06-01,1389-07-01,Andreas Scorcialupo,Scorcialupi,,1389,Settembre-Ottobre,,priore,ponte
120,1389-08-01,1389-09-01,Masseus Del Verde,del Verde,,1389,Novembre-Dicembre,,priore,ponte
121,1389-10-01,1389-11-01,Benedictus de Plumbino,de Plumbino,,1389,Gennaio-Febbraio,M. V. D. PETRUS GAMBACURTIS etc. ET NOB. ET POT. VIR D. ALBERTUS DE GALLUSSIS DE BONONIA MIL. P. P. ET D. LEG. DOCT. HENRIGUS DE GUIGLIARINIS DE LUCO C. P. P,priore,ponte
122,1389-12-01,1390-01-01,Iohannes Macigna,Macigna,,1389-1390,Marzo-Aprile,,priore,ponte
123,1390-02-01,1390-03-01,Ranerius Astarius,Astarii,,1390,Maggio-Giugno,,priore,ponte
124,1390-04-01,1390-05-01,Bondus Lanfreduccii,Lanfreducii,,1390,Luglio-Agosto,,priore,ponte
125,1390-06-01,1390-07-01,D. Loctus de Moricottis de Vico,de Vico,,1390,Settembre-Ottobre,,priore,ponte
126,1390-08-01,1390-09-01,Iohannes Benedicti Falconis,,,1390,Novembre-Dicembre,,priore,ponte
127,1390-10-01,1390-11-01,Iohannes Rustichelli,Rustichelli,,1390,Gennaio-Febbraio,NOB. ET POT. VIR D. BISSANCIONUS COMES DE PAGNANO P. P. ET D. FILIPPUS DE BRANDAGLIIS DE ARETIO C. P. P,priore,ponte
128,1390-12-01,1391-01-01,Pierus Papa,Papa,,1390-1391,Marzo-Aprile,,priore,ponte
129,1391-02-01,1391-03-01,Ser Colus de Scorno,de Scorno,,1391,Maggio-Giugno,,priore,ponte
130,1391-04-01,1391-05-01,Iohannes Macigna,Macigna,,1391,Luglio-Agosto,,priore,ponte
131,1391-06-01,1391-07-01,Masseus Del Verde,del Verde,,1391,Settembre-Ottobre,,priore,ponte
132,1391-08-01,1391-09-01,D. Benedictus de Plumbino,de Plumbino,,1391,Novembre-Dicembre,,priore,ponte
133,1391-10-01,1391-11-01,Francischus Rustichelli,Rustichelli,,1391,Gennaio-Febbraio,SPECTAB. MIL. D. PETRUS DE CAVALCABOBUS MARCHIO P. P. ET D. C. P. P. SUPRAS,priore,ponte
134,1391-12-01,1392-01-01,Iohannes D. Iacobi de Peccioli,de Peccioli,,1391-1392,Marzo-Aprile,D. POTEST. SUPRAS. ET EGREG. LEG. DOCT. VANNES ANGELI DE RECANATA C. P. P,priore,ponte
135,1392-02-01,1392-03-01,Andreas D. Ciani Squarcialupi,Squarcialupi,,1392,Maggio-Giugno,,priore,ponte
136,1392-04-01,1392-05-01,Iohannes Cavalcantis,,,1392,Luglio-Agosto,,priore,ponte
137,1392-06-01,1392-07-01,Gabbriel Melani,,,1392,Settembre-Ottobre,,priore,ponte
138,1392-08-01,1392-09-01,Raynerius Astarius,Astarii,,1392,Novembre-Dicembre,,priore,ponte
139,1392-10-01,1392-11-01,Loctus de Moricoctis de Vico,Moricoctis de Vico,,1392,Gennaio-Febbraio,NOB. ET EGR. VIR D. ARAO DE AURIA DE IANUA P. P. ET D. C. P. P. SUPRASCR. ,priore,ponte
1,1369-10-01,1369-11-01,Antonius Ser Iohannes de Razignano, de Razignano,Priore ( caso mese gennaio-febbraio 1369) ,1369,Gennaio-Febbraio,,anziano #1,ponte
2,1369-12-01,1370-01-01,Simon Del Vita,Del Vita,Merciarius,1369-1370,Marzo-Aprile,"Ranieri Sardo cap. 151 (nell'edizione dell'1845 della cronaca c'è una virgola dopo Giovanni di Puccio, Pancaldo)",anziano #1,ponte
3,1370-01-01,1370-03-01,Ser Iacobus Ser Guidonis Pape.,Pape,,1370,Aprile-Maggio-Giugno,Due Priori per Quartiere,anziano #1,ponte
4,1370-04-01,1370-05-01,Ser Colus de Scorno,De Scorno,,1370,Luglio-Agosto,Due Priori per Quartiere /NOB. ET POT. MILES D. RAINERIUS UGOLINUCCII DE BASCHIO HONOR PISANORUM POTESTAS ,anziano #1,ponte
5,1370-06-01,1370-07-01,Andreas Bondiei,Bondiei,,1370,Settembre-Ottobre,,anziano #1,ponte
6,1370-08-01,1370-09-01,Puccius Landuccii,,Magister,1370,Novembre-Dicembre,NOB. ET POT. MILES DOMINUS CAROLUS DE MONTANINIS DE SENIS HONOR. Pisanorum Potestas,anziano #1,ponte
7,1370-10-01,1370-11-01,Tomasus de Malaventre,de Malaventre,,1370,Gennaio-Febbraio,,anziano #1,ponte
8,1370-12-01,1371-01-01,Iohannes Coli Benvenuti,Benvenuti,,1370-1371,Marzo-Aprile,SUPRASCRIPT. POT. HABUIT ETIAM HOC TEMPORE OFFICIUM CAP. P. P,anziano #1,ponte
9,1371-02-01,1371-03-01,Iohannes Del Gese,Del Gese,Pictor (),1371,Maggio-Giugno,,anziano #1,ponte
10,1371-04-01,1371-05-01,Villanus Ser Cecchi Nacchi,Nacchi,,1371,Luglio-Agosto,,anziano #1,ponte
11,1371-06-01,1371-07-01,Antonius Cegne Del Guercio,del Guercio,,1371,Settembre-Ottobre,NOB. ET SAP. VIR D. MARCUS D. MACTHEI DE NARNIA LEG. DOCT.,anziano #1,ponte
12,1371-08-01,1371-09-01,Andreas Bondiei,Bondiei,,1371,Novembre-Dicembre,NOB. ET EGR. MILES D. BALIGINUS DE BALIGANIS DE ESIO HONOR. P. P. ET MARCUS DE NARNIA SUPR. C. P. P.,anziano #1,ponte
13,1371-10-01,1371-11-01,Ninus Barghigiani,,,1371,Gennaio-Febbraio,SUP. POT. ET MARCUS DE NARNIA LEG. DOCT. C. P. P,anziano #1,ponte
14,1371-12-01,1372-01-01,Niccholaus Marzucchi de Montecchio,de Montecchio,,1371-1372,Marzo-Aprile,,anziano #1,ponte
15,1372-02-01,1372-03-01,Paulus Ser Iacobi de Campo,de Campo,,1372,Maggio-Giugno,MAGNIF. ET POT. MILES D. PETRUS GAMBACURTA HONORAB. PIS. CIVIS. CAPITANEUS MASNADARUM PISANI COMUNIS ET POPULI PISANI. DEFENSOR ET CAP. P. P. SUPRASCRIPT,anziano #1,ponte
16,1372-04-01,1372-05-01,Bonaccursus Ser Rainerii de Peccioli,de Peccioli,,1372,Luglio-Agosto,M. ET P. MILES D. PETRUS GAMBACURTA ET D. BALIGANUS SUPR. POT. NEC NON D. CAP. P. P. SUPR.,anziano #1,ponte
17,1372-06-01,1372-07-01,Iohannes Ferri de Peccioli,de Peccioli,,1372,Settembre-Ottobre,,anziano #1,ponte
18,1372-08-01,1372-09-01,Iohannes olim Bianchi Bondiei.,Bondiei,,1372,Novembre-Dicembre,M. ET POT. MILES D. PETRUS GAMBACURTA etc. M. ET P. VIR D. BARTHOLOMEUS DE FELICINIS DE ARMANNIS DE PERUSIO PIS. POT. ET SUPR. C. P. P.,anziano #1,ponte
19,1372-10-01,1372-11-01,Iohannes Del Gese q. Coscii,Del Gese,Pictor,1372,Gennaio-Febbraio,SUPR. D. PETRUS GAMBACURTA etc. D. BARTHOLOMEUS etc. P. P. ET D. IACOBUS DE SENIS LEG. DOCT. C. P. P. ,anziano #1,ponte
20,1372-12-01,1373-01-01,Iohannes Ser Bonincontri de Lavaiano,de Lavaino,,1372-1373,Marzo-Aprile,,anziano #1,ponte
21,1373-02-01,1373-03-01,Lupus Orlandi,,Vagellarius,1373,Maggio-Giugno,,anziano #1,ponte
22,1373-04-01,1373-05-01,Masseus Del Verde,Del Verde,,1373,Luglio-Agosto,,anziano #1,ponte
23,1373-06-01,1373-07-01,Raynerius Iacobi Astarius,Astarii,,1373,Settembre-Ottobre,,anziano #1,ponte
